Id,Sales
1,8536.8793238
857,8536.8793238
1713,8536.8793238
2569,8536.8793238
3425,6254.0187719
4281,6254.0187719
5137,6254.0187719
5993,6254.0187719
6849,6254.0187719
7705,6254.0187719
8561,6254.0187719
9417,6254.0187719
10273,6254.0187719
11129,8687.96093361
11985,8687.96093361
12841,8687.96093361
13697,8687.96093361
14553,8603.24386075
15409,6320.38330885
16265,6320.38330885
17121,6320.38330885
17977,6320.38330885
18833,6320.38330885
19689,6320.38330885
20545,6320.38330885
21401,6320.38330885
22257,6320.38330885
23113,8603.24386075
23969,8603.24386075
24825,8603.24386075
25681,8603.24386075
26537,8603.24386075
27393,6320.38330885
28249,6320.38330885
29105,6320.38330885
29961,6320.38330885
30817,6320.38330885
31673,6320.38330885
32529,6320.38330885
33385,6320.38330885
34241,6320.38330885
35097,8603.24386075
35953,8603.24386075
36809,8603.24386075
37665,8603.24386075
38521,8603.24386075
39377,6320.38330885
40233,6320.38330885
2,8366.54103182
858,8366.54103182
1714,8366.54103182
2570,8366.54103182
3426,6083.68047992
4282,6083.68047992
5138,6083.68047992
5994,6083.68047992
6850,6083.68047992
7706,6083.68047992
8562,6083.68047992
9418,6083.68047992
10274,6083.68047992
11130,8366.54103182
11986,8366.54103182
12842,8366.54103182
13698,8366.54103182
14554,8281.82395896
15410,5998.96340706
16266,5998.96340706
17122,5998.96340706
17978,5998.96340706
18834,5998.96340706
19690,5998.96340706
20546,5998.96340706
21402,5998.96340706
22258,5998.96340706
23114,8281.82395896
23970,8281.82395896
24826,8281.82395896
25682,8281.82395896
26538,8281.82395896
27394,5998.96340706
28250,5998.96340706
29106,5998.96340706
29962,5998.96340706
30818,5998.96340706
31674,6150.04501687
32530,6150.04501687
33386,5998.96340706
34242,5998.96340706
35098,8432.90556877
35954,8432.90556877
36810,8432.90556877
37666,8432.90556877
38522,8432.90556877
39378,5998.96340706
40234,5998.96340706
3,8426.45480687
859,8426.45480687
1715,8426.45480687
2571,8426.45480687
3427,6143.59425497
4283,6143.59425497
5139,6143.59425497
5995,6143.59425497
6851,6143.59425497
7707,6143.59425497
8563,6143.59425497
9419,6143.59425497
10275,6143.59425497
11131,8426.45480687
11987,8426.45480687
12843,8426.45480687
13699,8426.45480687
14555,8341.73773401
15411,6058.87718211
16267,6058.87718211
17123,6209.95879192
17979,6209.95879192
18835,6209.95879192
19691,6209.95879192
20547,6209.95879192
21403,6058.87718211
22259,6058.87718211
23115,8492.81934382
23971,8492.81934382
24827,8492.81934382
25683,8492.81934382
26539,8492.81934382
27395,6058.87718211
28251,6058.87718211
29107,6209.95879192
29963,6209.95879192
30819,6209.95879192
31675,6209.95879192
32531,6209.95879192
33387,6058.87718211
34243,6058.87718211
35099,8492.81934382
35955,8492.81934382
36811,8492.81934382
37667,8492.81934382
38523,8492.81934382
39379,6058.87718211
40235,6058.87718211
4,8644.00622309
860,8644.00622309
1716,8644.00622309
2572,8644.00622309
3428,6361.14567119
4284,6361.14567119
5140,6361.14567119
5996,6361.14567119
6852,6361.14567119
7708,6361.14567119
8564,6361.14567119
9420,6361.14567119
10276,6361.14567119
11132,8644.00622309
11988,8644.00622309
12844,8644.00622309
13700,8644.00622309
14556,8559.28915024
15412,6276.42859834
16268,6276.42859834
17124,6427.51020815
17980,6427.51020815
18836,6427.51020815
19692,6427.51020815
20548,6427.51020815
21404,6276.42859834
22260,6276.42859834
23116,8710.37076005
23972,8710.37076005
24828,8710.37076005
25684,8710.37076005
26540,8710.37076005
27396,6276.42859834
28252,6276.42859834
29108,6427.51020815
29964,6427.51020815
30820,6427.51020815
31676,6427.51020815
32532,6427.51020815
33388,6276.42859834
34244,6276.42859834
35100,8710.37076005
35956,8710.37076005
36812,8710.37076005
37668,8710.37076005
38524,8710.37076005
39380,6276.42859834
40236,6276.42859834
5,8300.71121933
861,8300.71121933
1717,8300.71121933
2573,8300.71121933
3429,6017.85066744
4285,6017.85066744
5141,6017.85066744
5997,6017.85066744
6853,6017.85066744
7709,6017.85066744
8565,6017.85066744
9421,6017.85066744
10277,6017.85066744
11133,8300.71121933
11989,8300.71121933
12845,8300.71121933
13701,8300.71121933
14557,8215.99414648
15413,5933.13359458
16269,5933.13359458
17125,5933.13359458
17981,5933.13359458
18837,5933.13359458
19693,5933.13359458
20549,5933.13359458
21405,5933.13359458
22261,5933.13359458
23117,8215.99414648
23973,8215.99414648
24829,8215.99414648
25685,8215.99414648
26541,8215.99414648
27397,5933.13359458
28253,5933.13359458
29109,5933.13359458
29965,5933.13359458
30821,5933.13359458
31677,6084.21520439
32533,6084.21520439
33389,5933.13359458
34245,5933.13359458
35101,8367.07575629
35957,8367.07575629
36813,8367.07575629
37669,8367.07575629
38525,8367.07575629
39381,5933.13359458
40237,5933.13359458
6,8553.25559678
862,8553.25559678
1718,8553.25559678
2574,8553.25559678
3430,6270.39504489
4286,6270.39504489
5142,6270.39504489
5998,6270.39504489
6854,6270.39504489
7710,6270.39504489
8566,6270.39504489
9422,6270.39504489
10278,6270.39504489
11134,8553.25559678
11990,8553.25559678
12846,8704.33720659
13702,8704.33720659
14558,8619.62013374
15414,6336.75958184
16270,6336.75958184
17126,6336.75958184
17982,6336.75958184
18838,6336.75958184
19694,6336.75958184
20550,6336.75958184
21406,6336.75958184
22262,6336.75958184
23118,8619.62013374
23974,8619.62013374
24830,8619.62013374
25686,8619.62013374
26542,8619.62013374
27398,6336.75958184
28254,6336.75958184
29110,6336.75958184
29966,6336.75958184
30822,6336.75958184
31678,6336.75958184
32534,6336.75958184
33390,6336.75958184
34246,6336.75958184
35102,8619.62013374
35958,8619.62013374
36814,8619.62013374
37670,8619.62013374
38526,8619.62013374
39382,6336.75958184
40238,6336.75958184
7,8635.06540342
863,8635.06540342
1719,8635.06540342
2575,8635.06540342
3431,6352.20485152
4287,6352.20485152
5143,6352.20485152
5999,6352.20485152
6855,6352.20485152
7711,6352.20485152
8567,6352.20485152
9423,6352.20485152
10279,6352.20485152
11135,8635.06540342
11991,8635.06540342
12847,8635.06540342
13703,8635.06540342
14559,8550.34833056
15415,6267.48777866
16271,6267.48777866
17127,6418.56938847
17983,6418.56938847
18839,6418.56938847
19695,6418.56938847
20551,6418.56938847
21407,6267.48777866
22263,6267.48777866
23119,8701.42994037
23975,8701.42994037
24831,8701.42994037
25687,8701.42994037
26543,8701.42994037
27399,6267.48777866
28255,6267.48777866
29111,6418.56938847
29967,6418.56938847
30823,6418.56938847
31679,6418.56938847
32535,6418.56938847
33391,6267.48777866
34247,6267.48777866
35103,8701.42994037
35959,8701.42994037
36815,8701.42994037
37671,8701.42994037
38527,8701.42994037
39383,6267.48777866
40239,6267.48777866
8,8575.27146768
864,8575.27146768
1720,8575.27146768
2576,8575.27146768
3432,6292.41091579
4288,6292.41091579
5144,6292.41091579
6000,6292.41091579
6856,6292.41091579
7712,6292.41091579
8568,6292.41091579
9424,6292.41091579
10280,6292.41091579
11136,8575.27146768
11992,8575.27146768
12848,8575.27146768
13704,8575.27146768
14560,8490.55439483
15416,6207.69384293
16272,6207.69384293
17128,6358.77545274
17984,6358.77545274
18840,6358.77545274
19696,6358.77545274
20552,6358.77545274
21408,6207.69384293
22264,6207.69384293
23120,8641.63600464
23976,8641.63600464
24832,8641.63600464
25688,8641.63600464
26544,8641.63600464
27400,6207.69384293
28256,6207.69384293
29112,6358.77545274
29968,6358.77545274
30824,6358.77545274
31680,6358.77545274
32536,6358.77545274
33392,6207.69384293
34248,6207.69384293
35104,8641.63600464
35960,8641.63600464
36816,8641.63600464
37672,8641.63600464
38528,8641.63600464
39384,6207.69384293
40240,6207.69384293
9,8583.44744647
865,8583.44744647
1721,8583.44744647
2577,8734.52905628
3433,6300.58689458
4289,6300.58689458
5145,6451.66850439
6001,6451.66850439
6857,6451.66850439
7713,6451.66850439
8569,6451.66850439
9425,6300.58689458
10281,6300.58689458
11137,8734.52905628
11993,8734.52905628
12849,8734.52905628
13705,8734.52905628
14561,8649.81198343
15417,6215.86982172
16273,6215.86982172
17129,6366.95143153
17985,6366.95143153
18841,6366.95143153
19697,6366.95143153
20553,6366.95143153
